"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","60","206","160","7","0","37.50","2","bowled","1","v India","Nagpur","1 Mar 2006"
"2","104*","364","243","12","0","42.79","2","not out","3","v India","Nagpur","1 Mar 2006"
"3","17","55","38","2","0","44.73","2","lbw","1","v India","Mohali","9 Mar 2006"
"4","2","26","20","0","0","10.00","2","caught","3","v India","Mohali","9 Mar 2006"
"5","52","172","116","5","0","44.82","2","caught","1","v India","Chennai","11 Dec 2008"
"6","9","51","30","1","0","30.00","2","caught","3","v India","Chennai","11 Dec 2008"
"7","50","99","67","8","0","74.62","2","lbw","2","v India","Mohali","19 Dec 2008"
"8","10","34","19","1","0","52.63","2","caught","4","v India","Mohali","19 Dec 2008"
"9","41","148","109","7","0","37.61","1","caught","2","v India","Ahmedabad","15 Nov 2012"
"10","176","556","374","21","0","47.05","1","bowled","3","v India","Ahmedabad","15 Nov 2012"
"11","122","336","270","13","1","45.18","1","caught","2","v India","Mumbai","23 Nov 2012"
"12","18*","31","30","1","0","60.00","1","not out","4","v India","Mumbai","23 Nov 2012"
"13","190","492","377","23","2","50.39","1","run out","2","v India","Kolkata","5 Dec 2012"
"14","1","2","4","0","0","25.00","1","stumped","4","v India","Kolkata","5 Dec 2012"
"15","1","44","28","0","0","3.57","1","lbw","1","v India","Nagpur","13 Dec 2012"
"16","13","105","93","1","0","13.97","1","caught","3","v India","Nagpur","13 Dec 2012"
"17","21","63","47","2","0","44.68","1","lbw","1","v India","Rajkot","9 Nov 2016"
"18","130","299","243","13","0","53.49","1","caught","3","v India","Rajkot","9 Nov 2016"
"19","2","13","11","0","0","18.18","1","bowled","2","v India","Visakhapatnam","17 Nov 2016"
"20","54","221","188","4","0","28.72","1","lbw","4","v India","Visakhapatnam","17 Nov 2016"
"21","27","72","42","6","0","64.28","1","caught","1","v India","Mohali","26 Nov 2016"
"22","12","50","49","1","0","24.48","1","bowled","3","v India","Mohali","26 Nov 2016"
"23","46","103","60","5","0","76.66","1","stumped","1","v India","Mumbai","8 Dec 2016"
"24","18","50","28","3","0","64.28","1","lbw","3","v India","Mumbai","8 Dec 2016"
"25","10","57","38","1","0","26.31","1","caught","1","v India","Chennai","16 Dec 2016"
"26","49","144","134","4","0","36.56","1","caught","3","v India","Chennai","16 Dec 2016"
