"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","95","363","267","6","0","35.58","7","caught","2","v England","Lord's","20 Jun 1996"
"2","84","177","149","12","0","56.37","7","caught","1","v England","Nottingham","4 Jul 1996"
"3","8","24","21","1","0","38.09","5","caught","3","v England","Nottingham","4 Jul 1996"
"4","46","238","162","6","0","28.39","3","caught","2","v England","Lord's","25 Jul 2002"
"5","63","153","112","10","0","56.25","3","bowled","4","v England","Lord's","25 Jul 2002"
"6","13","74","43","2","0","30.23","3","caught","1","v England","Nottingham","8 Aug 2002"
"7","115","338","244","16","0","47.13","3","lbw","3","v England","Nottingham","8 Aug 2002"
"8","148","429","307","23","0","48.20","3","stumped","1","v England","Leeds","22 Aug 2002"
"9","217","629","468","28","0","46.36","3","run out","2","v England","The Oval","5 Sep 2002"
"10","2","15","12","0","0","16.66","3","caught","2","v England","Lord's","19 Jul 2007"
"11","9","18","12","2","0","75.00","3","lbw","4","v England","Lord's","19 Jul 2007"
"12","37","136","94","5","0","39.36","3","caught","2","v England","Nottingham","27 Jul 2007"
"13","11*","45","28","2","0","39.28","3","not out","4","v England","Nottingham","27 Jul 2007"
"14","55","131","101","8","0","54.45","3","bowled","1","v England","The Oval","9 Aug 2007"
"15","12","140","96","1","0","12.50","3","caught","3","v England","The Oval","9 Aug 2007"
"16","103*","330","220","15","0","46.81","3","not out","2","v England","Lord's","21 Jul 2011"
"17","36","150","93","5","0","38.70","2","caught","4","v England","Lord's","21 Jul 2011"
"18","117","371","235","15","0","49.78","2","caught","2","v England","Nottingham","29 Jul 2011"
"19","6","15","12","1","0","50.00","2","caught","4","v England","Nottingham","29 Jul 2011"
"20","22","111","68","3","0","32.35","3","bowled","1","v England","Birmingham","10 Aug 2011"
"21","18","65","39","3","0","46.15","3","caught","3","v England","Birmingham","10 Aug 2011"
"22","146*","378","266","20","0","54.88","2","not out","2","v England","The Oval","18 Aug 2011"
"23","13","56","32","2","0","40.62","2","caught","3","v England","The Oval","18 Aug 2011"
