"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","15","77","57","1","0","26.31","3","caught","2","v Australia","Melbourne","26 Dec 1997"
"2","101","357","279","6","0","36.20","3","bowled","4","v Australia","Melbourne","26 Dec 1997"
"3","16","68","59","2","0","27.11","3","run out","1","v Australia","Sydney","2 Jan 1998"
"4","45","155","110","4","0","40.90","3","bowled","3","v Australia","Sydney","2 Jan 1998"
"5","15","32","24","3","0","62.50","3","lbw","1","v Australia","Adelaide","30 Jan 1998"
"6","15","54","43","3","0","34.88","3","bowled","3","v Australia","Adelaide","30 Jan 1998"
"7","5","40","33","0","0","15.15","5","lbw","2","v Australia","Adelaide","14 Dec 2001"
"8","65*","234","174","7","0","37.35","4","not out","4","v Australia","Adelaide","14 Dec 2001"
"9","38","170","124","2","1","30.64","4","caught","1","v Australia","Melbourne","26 Dec 2001"
"10","99","287","180","8","0","55.00","4","run out","3","v Australia","Melbourne","26 Dec 2001"
"11","4","12","13","1","0","30.76","4","caught","2","v Australia","Sydney","2 Jan 2002"
"12","34","79","68","4","0","50.00","4","caught","3","v Australia","Sydney","2 Jan 2002"
"13","44","125","94","8","0","46.80","5","caught","2","v Australia","Sydney","14 Oct 2005"
"14","39*","109","85","3","1","45.88","5","not out","4","v Australia","Sydney","14 Oct 2005"
"15","23","108","91","2","0","25.27","4","bowled","2","v Australia","Melbourne","26 Dec 2005"
"16","9","39","26","2","0","34.61","4","caught","4","v Australia","Melbourne","26 Dec 2005"
"17","111","361","275","17","0","40.36","4","caught","1","v Australia","Sydney","2 Jan 2006"
"18","50*","180","96","3","0","52.08","4","not out","3","v Australia","Sydney","2 Jan 2006"
"19","63","162","111","6","1","56.75","4","caught","2","v Australia","Perth","17 Dec 2008"
"20","57","155","106","4","2","53.77","4","caught","4","v Australia","Perth","17 Dec 2008"
"21","26","81","53","2","0","49.05","4","caught","2","v Australia","Melbourne","26 Dec 2008"
"22","DNB","-","-","-","-","-","-","-","4","v Australia","Melbourne","26 Dec 2008"
"23","37","64","55","6","0","67.27","4","caught","2","v Australia","Sydney","3 Jan 2009"
"24","4","23","13","0","0","30.76","4","caught","4","v Australia","Sydney","3 Jan 2009"
"25","147","349","274","14","1","53.64","4","caught","1","v Australia","Brisbane","9 Nov 2012"
"26","49","123","91","5","1","53.84","4","caught","3","v Australia","Brisbane","9 Nov 2012"
"27","58","109","93","10","1","62.36","9","caught","2","v Australia","Adelaide","22 Nov 2012"
"28","46","149","110","6","0","41.81","7","caught","4","v Australia","Adelaide","22 Nov 2012"
"29","2","8","7","0","0","28.57","4","bowled","1","v Australia","Perth","30 Nov 2012"
"30","37","91","65","5","0","56.92","4","caught","3","v Australia","Perth","30 Nov 2012"
