"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","127","261","202","16","1","62.87","6","caught","2","v England","Leeds","24 Jul 1997"
"2","9","15","15","1","0","60.00","6","bowled","1","v England","Nottingham","7 Aug 1997"
"3","45","168","131","4","0","34.35","6","caught","3","v England","Nottingham","7 Aug 1997"
"4","40","134","96","3","1","41.66","6","caught","2","v England","The Oval","21 Aug 1997"
"5","20","47","35","3","0","57.14","6","lbw","4","v England","The Oval","21 Aug 1997"
"6","11","23","13","2","0","84.61","3","lbw","2","v England","Birmingham","5 Jul 2001"
"7","14","14","12","3","0","116.66","3","caught","2","v England","Lord's","19 Jul 2001"
"8","4","2","3","0","0","133.33","3","lbw","4","v England","Lord's","19 Jul 2001"
"9","14","32","20","3","0","70.00","3","caught","2","v England","Nottingham","2 Aug 2001"
"10","17","34","31","3","0","54.83","3","caught","4","v England","Nottingham","2 Aug 2001"
"11","144","211","154","20","3","93.50","3","caught","1","v England","Leeds","16 Aug 2001"
"12","72","91","72","10","1","100.00","3","lbw","3","v England","Leeds","16 Aug 2001"
"13","62","126","102","8","0","60.78","3","caught","1","v England","The Oval","23 Aug 2001"
"14","9","38","18","1","0","50.00","3","caught","1","v England","Lord's","21 Jul 2005"
"15","42","100","65","3","0","64.61","3","caught","3","v England","Lord's","21 Jul 2005"
"16","61","87","76","12","0","80.26","3","caught","2","v England","Birmingham","4 Aug 2005"
"17","0","4","5","0","0","0.00","3","caught","4","v England","Birmingham","4 Aug 2005"
"18","7","20","12","1","0","58.33","3","caught","2","v England","Manchester","11 Aug 2005"
"19","156","411","275","16","1","56.72","3","caught","4","v England","Manchester","11 Aug 2005"
"20","1","6","6","0","0","16.66","3","lbw","2","v England","Nottingham","25 Aug 2005"
"21","48","137","89","3","1","53.93","3","run out","3","v England","Nottingham","25 Aug 2005"
"22","35","81","56","3","0","62.50","3","caught","2","v England","The Oval","8 Sep 2005"
"23","DNB","-","-","-","-","-","-","-","4","v England","The Oval","8 Sep 2005"
"24","150","313","224","14","1","66.96","3","bowled","2","v England","Cardiff","8 Jul 2009"
"25","2","19","15","0","0","13.33","3","caught","2","v England","Lord's","16 Jul 2009"
"26","38","88","69","6","0","55.07","3","bowled","4","v England","Lord's","16 Jul 2009"
"27","38","88","47","5","0","80.85","3","caught","1","v England","Birmingham","30 Jul 2009"
"28","5","6","7","0","0","71.42","3","bowled","3","v England","Birmingham","30 Jul 2009"
"29","78","119","101","12","1","77.22","3","lbw","2","v England","Leeds","7 Aug 2009"
"30","8","20","15","1","0","53.33","3","bowled","2","v England","The Oval","20 Aug 2009"
"31","66","157","103","10","0","64.07","3","run out","4","v England","The Oval","20 Aug 2009"
