"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","2","16","17","0","0","11.76","3","lbw","2","v Australia","Darwin","1 Jul 2004"
"2","0","5","4","0","0","0.00","3","run out","4","v Australia","Darwin","1 Jul 2004"
"3","74","160","115","8","0","64.34","3","caught","2","v Australia","Cairns","9 Jul 2004"
"4","66","263","173","7","0","38.15","3","bowled","4","v Australia","Cairns","9 Jul 2004"
"5","57","120","76","9","0","75.00","3","caught","2","v Australia","Hobart","16 Nov 2007"
"6","192","431","282","27","1","68.08","3","caught","4","v Australia","Hobart","16 Nov 2007"
"7","4","21","16","0","0","25.00","3","caught","2","v Australia","Hobart","14 Dec 2012"
"8","63","276","226","6","0","27.87","3","lbw","4","v Australia","Hobart","14 Dec 2012"
"9","58","195","98","8","0","59.18","3","caught","1","v Australia","Melbourne","26 Dec 2012"
"10","27*","83","43","4","0","62.79","3","retired notout","3","v Australia","Melbourne","26 Dec 2012"
