"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","10","30","19","1","0","52.63","6","bowled","2","v England","Lord's","26 Jul 1990"
"2","27","93","65","4","0","41.53","6","caught","4","v England","Lord's","26 Jul 1990"
"3","68","216","136","8","0","50.00","6","caught","2","v England","Manchester","9 Aug 1990"
"4","119*","225","189","17","0","62.96","6","not out","4","v England","Manchester","9 Aug 1990"
"5","21","39","30","3","0","70.00","7","caught","1","v England","The Oval","23 Aug 1990"
"6","24","71","41","4","0","58.53","4","bowled","1","v England","Birmingham","6 Jun 1996"
"7","122","263","177","19","1","68.92","4","caught","3","v England","Birmingham","6 Jun 1996"
"8","31","81","59","5","0","52.54","4","bowled","2","v England","Lord's","20 Jun 1996"
"9","177","462","360","26","0","49.16","4","caught","1","v England","Nottingham","4 Jul 1996"
"10","74","111","97","11","1","76.28","4","caught","3","v England","Nottingham","4 Jul 1996"
"11","16","94","61","2","0","26.22","5","caught","2","v England","Lord's","25 Jul 2002"
"12","12","51","35","2","0","34.28","4","bowled","4","v England","Lord's","25 Jul 2002"
"13","34","90","68","6","0","50.00","4","bowled","1","v England","Nottingham","8 Aug 2002"
"14","92","160","113","17","0","81.41","4","bowled","3","v England","Nottingham","8 Aug 2002"
"15","193","434","330","19","3","58.48","4","lbw","1","v England","Leeds","22 Aug 2002"
"16","54","114","89","10","0","60.67","4","lbw","2","v England","The Oval","5 Sep 2002"
"17","37","104","78","6","0","47.43","4","lbw","2","v England","Lord's","19 Jul 2007"
"18","16","42","35","3","0","45.71","4","lbw","4","v England","Lord's","19 Jul 2007"
"19","91","259","197","12","0","46.19","4","lbw","2","v England","Nottingham","27 Jul 2007"
"20","1","17","15","0","0","6.66","4","caught","4","v England","Nottingham","27 Jul 2007"
"21","82","298","192","11","0","42.70","4","caught","1","v England","The Oval","9 Aug 2007"
"22","1","13","11","0","0","9.09","4","bowled","3","v England","The Oval","9 Aug 2007"
"23","34","90","58","6","0","58.62","4","caught","2","v England","Lord's","21 Jul 2011"
"24","12","84","68","1","0","17.64","5","lbw","4","v England","Lord's","21 Jul 2011"
"25","16","33","34","3","0","47.05","4","caught","2","v England","Nottingham","29 Jul 2011"
"26","56","136","86","8","0","65.11","4","lbw","4","v England","Nottingham","29 Jul 2011"
"27","1","10","8","0","0","12.50","4","caught","1","v England","Birmingham","10 Aug 2011"
"28","40","92","60","8","0","66.66","4","run out","3","v England","Birmingham","10 Aug 2011"
"29","23","65","34","4","0","67.64","4","caught","2","v England","The Oval","18 Aug 2011"
"30","91","235","172","11","0","52.90","4","lbw","3","v England","The Oval","18 Aug 2011"
