"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","232","438","313","31","4","74.12","3","caught","1","v England","Nottingham","3 Jun 1976"
"2","63","125","84","8","0","75.00","3","lbw","3","v England","Nottingham","3 Jun 1976"
"3","4","14","7","0","0","57.14","3","bowled","1","v England","Manchester","8 Jul 1976"
"4","135","288","261","18","0","51.72","3","lbw","3","v England","Manchester","8 Jul 1976"
"5","66","92","74","11","0","89.18","3","caught","1","v England","Leeds","22 Jul 1976"
"6","38","81","63","6","0","60.31","3","bowled","3","v England","Leeds","22 Jul 1976"
"7","291","472","386","38","0","75.38","3","bowled","1","v England","The Oval","12 Aug 1976"
"8","DNB","-","-","-","-","-","-","-","3","v England","The Oval","12 Aug 1976"
"9","64","154","110","10","0","58.18","3","caught","2","v England","Nottingham","5 Jun 1980"
"10","48","65","59","8","0","81.35","3","lbw","4","v England","Nottingham","5 Jun 1980"
"11","145","196","159","25","1","91.19","3","caught","2","v England","Lord's","19 Jun 1980"
"12","65","91","68","13","0","95.58","3","bowled","2","v England","Manchester","10 Jul 1980"
"13","26","90","66","3","0","39.39","3","caught","2","v England","The Oval","24 Jul 1980"
"14","31","65","38","2","1","81.57","3","bowled","2","v England","Leeds","7 Aug 1980"
"15","117","208","154","17","1","75.97","4","caught","2","v England","Birmingham","14 Jun 1984"
"16","72","154","94","11","0","76.59","4","lbw","2","v England","Lord's","28 Jun 1984"
"17","DNB","-","-","-","-","-","-","-","4","v England","Lord's","28 Jun 1984"
"18","15","20","12","2","0","125.00","4","caught","2","v England","Leeds","12 Jul 1984"
"19","22*","13","18","3","0","122.22","4","not out","4","v England","Leeds","12 Jul 1984"
"20","1","3","3","0","0","33.33","4","caught","1","v England","Manchester","26 Jul 1984"
"21","8","42","25","1","0","32.00","4","caught","1","v England","The Oval","9 Aug 1984"
"22","15","13","11","2","0","136.36","4","lbw","3","v England","The Oval","9 Aug 1984"
"23","80","135","98","12","1","81.63","4","caught","2","v England","Nottingham","2 Jun 1988"
"24","6","20","9","1","0","66.66","4","caught","1","v England","Lord's","16 Jun 1988"
"25","72","112","80","12","1","90.00","4","bowled","3","v England","Lord's","16 Jun 1988"
"26","47","104","71","5","1","66.19","4","bowled","2","v England","Manchester","30 Jun 1988"
"27","18","25","20","4","0","90.00","4","caught","2","v England","Leeds","21 Jul 1988"
"28","DNB","-","-","-","-","-","-","-","4","v England","Leeds","21 Jul 1988"
"29","0","3","3","0","0","0.00","4","caught","2","v England","The Oval","4 Aug 1988"
"30","DNB","-","-","-","-","-","-","-","4","v England","The Oval","4 Aug 1988"
"31","73","129","98","7","2","74.48","5","caught","2","v England","Leeds","6 Jun 1991"
"32","3","9","8","0","0","37.50","5","caught","4","v England","Leeds","6 Jun 1991"
"33","63","113","89","7","1","70.78","5","lbw","1","v England","Lord's","20 Jun 1991"
"34","DNB","-","-","-","-","-","-","-","3","v England","Lord's","20 Jun 1991"
"35","80","209","155","8","2","51.61","5","bowled","2","v England","Nottingham","4 Jul 1991"
"36","DNB","-","-","-","-","-","-","-","4","v England","Nottingham","4 Jul 1991"
"37","22","43","26","4","0","84.61","5","caught","2","v England","Birmingham","25 Jul 1991"
"38","73*","134","97","9","1","75.25","5","not out","4","v England","Birmingham","25 Jul 1991"
"39","2","17","7","0","0","28.57","8","caught","2","v England","The Oval","8 Aug 1991"
"40","60","164","105","9","0","57.14","6","caught","3","v England","The Oval","8 Aug 1991"
