"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date"
"1","0","10","3","0","0","0.00","5","caught","1","v Australia","Brisbane","28 Nov 1975"
"2","12","17","18","3","0","66.66","7","run out","3","v Australia","Brisbane","28 Nov 1975"
"3","12","53","37","2","0","32.43","5","caught","2","v Australia","Perth","12 Dec 1975"
"4","41","85","54","4","0","75.92","5","bowled","1","v Australia","Melbourne","26 Dec 1975"
"5","36","68","51","5","0","70.58","5","caught","3","v Australia","Melbourne","26 Dec 1975"
"6","44","96","57","7","0","77.19","5","caught","1","v Australia","Sydney","3 Jan 1976"
"7","2","20","8","0","0","25.00","3","caught","3","v Australia","Sydney","3 Jan 1976"
"8","30","55","38","3","0","78.94","2","caught","2","v Australia","Adelaide","23 Jan 1976"
"9","101","183","136","17","0","74.26","2","bowled","4","v Australia","Adelaide","23 Jan 1976"
"10","50","98","54","7","0","92.59","2","caught","2","v Australia","Melbourne","31 Jan 1976"
"11","98","170","103","14","0","95.14","2","caught","4","v Australia","Melbourne","31 Jan 1976"
"12","140","329","259","20","0","54.05","3","caught","2","v Australia","Brisbane","1 Dec 1979"
"13","DNB","-","-","-","-","-","-","-","4","v Australia","Brisbane","1 Dec 1979"
"14","96","160","110","9","1","87.27","3","caught","2","v Australia","Melbourne","29 Dec 1979"
"15","DNB","-","-","-","-","-","-","-","4","v Australia","Melbourne","29 Dec 1979"
"16","76","105","72","13","0","105.55","3","caught","1","v Australia","Adelaide","26 Jan 1980"
"17","74","137","105","11","0","70.47","3","bowled","3","v Australia","Adelaide","26 Jan 1980"
"18","2","14","8","0","0","25.00","4","bowled","2","v Australia","Melbourne","26 Dec 1981"
"19","0","2","2","0","0","0.00","3","bowled","4","v Australia","Melbourne","26 Dec 1981"
"20","44","99","59","6","0","74.57","3","caught","1","v Australia","Sydney","2 Jan 1982"
"21","22","14","16","4","0","137.50","3","caught","3","v Australia","Sydney","2 Jan 1982"
"22","42","85","48","6","0","87.50","3","caught","2","v Australia","Adelaide","30 Jan 1982"
"23","50","109","56","4","0","89.28","3","bowled","4","v Australia","Adelaide","30 Jan 1982"
"24","10","24","14","1","0","71.42","5","caught","1","v Australia","Perth","9 Nov 1984"
"25","6","22","21","1","0","28.57","5","caught","2","v Australia","Brisbane","23 Nov 1984"
"26","3*","5","2","0","0","150.00","4","not out","4","v Australia","Brisbane","23 Nov 1984"
"27","0","4","3","0","0","0.00","5","caught","1","v Australia","Adelaide","7 Dec 1984"
"28","42","92","54","5","1","77.77","6","caught","3","v Australia","Adelaide","7 Dec 1984"
"29","208","374","245","22","3","84.89","5","caught","1","v Australia","Melbourne","22 Dec 1984"
"30","0","2","2","0","0","0.00","5","lbw","3","v Australia","Melbourne","22 Dec 1984"
"31","15","46","39","2","0","38.46","5","caught","2","v Australia","Sydney","30 Dec 1984"
"32","58","120","88","4","1","65.90","5","bowled","3","v Australia","Sydney","30 Dec 1984"
"33","68","109","78","11","1","87.17","5","caught","2","v Australia","Brisbane","18 Nov 1988"
"34","DNB","-","-","-","-","-","-","-","4","v Australia","Brisbane","18 Nov 1988"
"35","146","195","150","21","3","97.33","5","caught","1","v Australia","Perth","2 Dec 1988"
"36","5","15","10","1","0","50.00","5","lbw","3","v Australia","Perth","2 Dec 1988"
"37","12","36","25","2","0","48.00","5","caught","1","v Australia","Melbourne","24 Dec 1988"
"38","63","108","70","5","2","90.00","6","lbw","3","v Australia","Melbourne","24 Dec 1988"
"39","11","19","19","2","0","57.89","5","caught","1","v Australia","Sydney","26 Jan 1989"
"40","4","21","14","1","0","28.57","5","caught","3","v Australia","Sydney","26 Jan 1989"
"41","69","160","120","6","0","57.50","5","caught","2","v Australia","Adelaide","3 Feb 1989"
"42","68*","193","144","6","0","47.22","5","not out","4","v Australia","Adelaide","3 Feb 1989"
