"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date"
"1","14.0","4","42","1","3.00","5","1","v South Africa","Johannesburg","4 Mar 1994"
"2","44.5","14","86","4","1.91","6","3","v South Africa","Johannesburg","4 Mar 1994"
"3","47.0","18","78","3","1.65","5","1","v South Africa","Cape Town","17 Mar 1994"
"4","30.0","13","38","3","1.26","3","3","v South Africa","Cape Town","17 Mar 1994"
"5","55.0","20","92","4","1.67","4","2","v South Africa","Durban","25 Mar 1994"
"6","27.4","9","68","2","2.45","3","1","v South Africa","Johannesburg","28 Feb 1997"
"7","28.0","15","43","4","1.53","3","3","v South Africa","Johannesburg","28 Feb 1997"
"8","23.4","5","62","3","2.61","3","1","v South Africa","Port Elizabeth","14 Mar 1997"
"9","17.4","7","20","2","1.13","5","3","v South Africa","Port Elizabeth","14 Mar 1997"
"10","36.0","11","89","0","2.47","4","2","v South Africa","Centurion","21 Mar 1997"
"11","DNB","-","-","-","-","-","4","v South Africa","Centurion","21 Mar 1997"
"12","9.0","0","26","2","2.88","3","2","v South Africa","Johannesburg","22 Feb 2002"
"13","12.0","3","44","4","3.66","4","3","v South Africa","Johannesburg","22 Feb 2002"
"14","28.0","10","70","2","2.50","4","1","v South Africa","Cape Town","8 Mar 2002"
"15","70.0","15","161","6","2.30","3","3","v South Africa","Cape Town","8 Mar 2002"
"16","13.0","4","33","4","2.53","4","2","v South Africa","Durban","15 Mar 2002"
"17","30.0","6","108","2","3.60","4","4","v South Africa","Durban","15 Mar 2002"
"18","9.0","0","41","0","4.55","5","1","v South Africa","Cape Town","16 Mar 2006"
"19","18.5","1","77","3","4.08","4","3","v South Africa","Cape Town","16 Mar 2006"
"20","25.0","2","80","2","3.20","3","2","v South Africa","Durban","24 Mar 2006"
"21","35.5","9","86","6","2.40","4","4","v South Africa","Durban","24 Mar 2006"
"22","13.0","2","49","1","3.76","4","1","v South Africa","Johannesburg","31 Mar 2006"
"23","26.0","5","90","3","3.46","6","3","v South Africa","Johannesburg","31 Mar 2006"
